state,latitude,longitude,year,month,screening,screening_rate (per 1000)
Johor,1.59889,103.680107,2020,Jan,3999,997.3314712
Johor,1.59889,103.680107,2020,Feb,4291,1070.154874
Johor,1.59889,103.680107,2020,Mar,2508,625.4832032
Johor,1.59889,103.680107,2020,Apr,266,66.33912762
Johor,1.59889,103.680107,2020,May,348,86.78953538
Johor,1.59889,103.680107,2020,Jun,844,210.4895628
Johor,1.59889,103.680107,2020,Jul,1560,389.0565379
Johor,1.59889,103.680107,2020,Aug,1651,411.7515026
Johor,1.59889,103.680107,2020,Sep,1727,430.7055391
Johor,1.59889,103.680107,2020,Oct,1453,362.3712497
Johor,1.59889,103.680107,2020,Nov,1391,346.9087463
Johor,1.59889,103.680107,2020,Dec,977,243.6591266
Johor,1.59889,103.680107,2021,Jan,688,171.1442786
Johor,1.59889,103.680107,2021,Feb,923,229.60199
Johor,1.59889,103.680107,2021,Mar,1106,275.1243781
Johor,1.59889,103.680107,2021,Apr,774,192.5373134
Johor,1.59889,103.680107,2021,May,579,144.0298507
Johor,1.59889,103.680107,2021,Jun,687,170.8955224
Johor,1.59889,103.680107,2021,Jul,767,190.7960199
Johor,1.59889,103.680107,2021,Aug,644,160.199005
Johor,1.59889,103.680107,2021,Sep,582,144.7761194
Johor,1.59889,103.680107,2021,Oct,545,135.5721393
Johor,1.59889,103.680107,2021,Nov,542,134.8258706
Johor,1.59889,103.680107,2021,Dec,639,158.9552239
Johor,1.59889,103.680107,2022,Jan,616,152.9181044
Johor,1.59889,103.680107,2022,Feb,883,219.1991659
Johor,1.59889,103.680107,2022,Mar,3341,829.3821215
Johor,1.59889,103.680107,2022,Apr,2853,708.2392076
Johor,1.59889,103.680107,2022,May,2640,655.3633046
Johor,1.59889,103.680107,2022,Jun,3240,804.3095102
Johor,1.59889,103.680107,2022,Jul,3723,924.2112057
Johor,1.59889,103.680107,2022,Aug,4622,1147.38227
Johor,1.59889,103.680107,2022,Sep,5206,1292.356577
Johor,1.59889,103.680107,2022,Oct,4359,1082.094184
Johor,1.59889,103.680107,2022,Nov,4166,1034.183154
Johor,1.59889,103.680107,2022,Dec,3074,763.10106
Johor,1.59889,103.680107,2023,Jan,2598,632.5477211
Johor,1.59889,103.680107,2023,Feb,3096,753.798208
Johor,1.59889,103.680107,2023,Mar,4024,979.7428905
Johor,1.59889,103.680107,2023,Apr,2954,719.224776
Johor,1.59889,103.680107,2023,May,3310,805.9018309
Johor,1.59889,103.680107,2023,Jun,4509,1097.828204
Johor,1.59889,103.680107,2023,Jul,3361,818.3190495
Johor,1.59889,103.680107,2023,Aug,3223,784.7195169
Johor,1.59889,103.680107,2023,Sep,2809,683.9209194
Johor,1.59889,103.680107,2023,Oct,3272,796.6497857
Johor,1.59889,103.680107,2023,Nov,3286,800.058434
Johor,1.59889,103.680107,2023,Dec,3331,811.0148033
Johor,1.59889,103.680107,2024,Jan,2893,691.3774974
Johor,1.59889,103.680107,2024,Feb,2493,595.7843418
Johor,1.59889,103.680107,2024,Mar,2020,482.7454354
Johor,1.59889,103.680107,2024,Apr,1548,369.9455119
Johor,1.59889,103.680107,2024,May,2387,570.4521556
Johor,1.59889,103.680107,2024,Jun,2296,548.7047127
Johor,1.59889,103.680107,2024,Jul,2873,686.5978396
Johor,1.59889,103.680107,2024,Aug,3116,744.6706816
Johor,1.59889,103.680107,2024,Sep,2419,578.0996081
Johor,1.59889,103.680107,2024,Oct,3381,808.0011471
Johor,1.59889,103.680107,2024,Nov,3420,817.3214798
Johor,1.59889,103.680107,2024,Dec,3408,814.4536851
Kedah,6.137244,100.346815,2020,Jan,6669,3128.929342
Kedah,6.137244,100.346815,2020,Feb,6974,3272.027775
Kedah,6.137244,100.346815,2020,Mar,3371,1581.589566
Kedah,6.137244,100.346815,2020,Apr,482,226.1424416
Kedah,6.137244,100.346815,2020,May,656,307.7789247
Kedah,6.137244,100.346815,2020,Jun,3937,1847.142723
Kedah,6.137244,100.346815,2020,Jul,4358,2044.665478
Kedah,6.137244,100.346815,2020,Aug,2728,1279.909918
Kedah,6.137244,100.346815,2020,Sep,1838,862.3439992
Kedah,6.137244,100.346815,2020,Oct,1969,923.8059491
Kedah,6.137244,100.346815,2020,Nov,2114,991.8363517
Kedah,6.137244,100.346815,2020,Dec,2293,1075.818711
Kedah,6.137244,100.346815,2021,Jan,1774,824.464377
Kedah,6.137244,100.346815,2021,Feb,1675,778.4542455
Kedah,6.137244,100.346815,2021,Mar,2018,937.863085
Kedah,6.137244,100.346815,2021,Apr,1414,657.1548078
Kedah,6.137244,100.346815,2021,May,723,336.0133848
Kedah,6.137244,100.346815,2021,Jun,863,401.0782172
Kedah,6.137244,100.346815,2021,Jul,897,416.8796765
Kedah,6.137244,100.346815,2021,Aug,604,280.7082772
Kedah,6.137244,100.346815,2021,Sep,545,253.2880978
Kedah,6.137244,100.346815,2021,Oct,759,352.7443417
Kedah,6.137244,100.346815,2021,Nov,813,377.8407771
Kedah,6.137244,100.346815,2021,Dec,993,461.4955616
Kedah,6.137244,100.346815,2022,Jan,868,401.2759466
Kedah,6.137244,100.346815,2022,Feb,793,366.6034857
Kedah,6.137244,100.346815,2022,Mar,1381,638.4355786
Kedah,6.137244,100.346815,2022,Apr,1325,612.5468078
Kedah,6.137244,100.346815,2022,May,1567,724.4232814
Kedah,6.137244,100.346815,2022,Jun,1784,824.742268
Kedah,6.137244,100.346815,2022,Jul,2019,933.3826453
Kedah,6.137244,100.346815,2022,Aug,3018,1395.219823
Kedah,6.137244,100.346815,2022,Sep,3420,1581.064213
Kedah,6.137244,100.346815,2022,Oct,4081,1886.644168
Kedah,6.137244,100.346815,2022,Nov,3566,1648.559937
Kedah,6.137244,100.346815,2022,Dec,2939,1358.698165
Kedah,6.137244,100.346815,2023,Jan,3517,1606.44955
Kedah,6.137244,100.346815,2023,Feb,3634,1659.891289
Kedah,6.137244,100.346815,2023,Mar,3962,1809.710866
Kedah,6.137244,100.346815,2023,Apr,1971,900.2877632
Kedah,6.137244,100.346815,2023,May,2929,1337.870552
Kedah,6.137244,100.346815,2023,Jun,2792,1275.293473
Kedah,6.137244,100.346815,2023,Jul,3080,1406.84237
Kedah,6.137244,100.346815,2023,Aug,2646,1208.60549
Kedah,6.137244,100.346815,2023,Sep,2747,1254.738958
Kedah,6.137244,100.346815,2023,Oct,3419,1561.686384
Kedah,6.137244,100.346815,2023,Nov,3559,1625.633764
Kedah,6.137244,100.346815,2023,Dec,2956,1350.203261
Kedah,6.137244,100.346815,2024,Jan,3694,1666.140454
Kedah,6.137244,100.346815,2024,Feb,3033,1368.003247
Kedah,6.137244,100.346815,2024,Mar,2111,952.1446935
Kedah,6.137244,100.346815,2024,Apr,2254,1016.643363
Kedah,6.137244,100.346815,2024,May,3558,1604.799062
Kedah,6.137244,100.346815,2024,Jun,2465,1111.812728
Kedah,6.137244,100.346815,2024,Jul,3526,1590.365793
Kedah,6.137244,100.346815,2024,Aug,3335,1504.217221
Kedah,6.137244,100.346815,2024,Sep,2772,1250.2819
Kedah,6.137244,100.346815,2024,Oct,3065,1382.436516
Kedah,6.137244,100.346815,2024,Nov,3314,1494.745388
Kedah,6.137244,100.346815,2024,Dec,2742,1236.75071
Kelantan,6.147431,102.249236,2020,Jan,5145,2870.292887
Kelantan,6.147431,102.249236,2020,Feb,4332,2416.736402
Kelantan,6.147431,102.249236,2020,Mar,1995,1112.970711
Kelantan,6.147431,102.249236,2020,Apr,379,211.4365411
Kelantan,6.147431,102.249236,2020,May,557,310.7391911
Kelantan,6.147431,102.249236,2020,Jun,1500,836.8200837
Kelantan,6.147431,102.249236,2020,Jul,2018,1125.801953
Kelantan,6.147431,102.249236,2020,Aug,1672,932.7754533
Kelantan,6.147431,102.249236,2020,Sep,2535,1414.225941
Kelantan,6.147431,102.249236,2020,Oct,2778,1549.790795
Kelantan,6.147431,102.249236,2020,Nov,1619,903.2078103
Kelantan,6.147431,102.249236,2020,Dec,1719,958.9958159
Kelantan,6.147431,102.249236,2021,Jan,1118,616.8956575
Kelantan,6.147431,102.249236,2021,Feb,1402,773.6026044
Kelantan,6.147431,102.249236,2021,Mar,1585,874.5792639
Kelantan,6.147431,102.249236,2021,Apr,914,504.3315124
Kelantan,6.147431,102.249236,2021,May,574,316.7246041
Kelantan,6.147431,102.249236,2021,Jun,1255,692.4902058
Kelantan,6.147431,102.249236,2021,Jul,1217,671.5223749
Kelantan,6.147431,102.249236,2021,Aug,1019,562.26894
Kelantan,6.147431,102.249236,2021,Sep,653,360.315621
Kelantan,6.147431,102.249236,2021,Oct,735,405.561993
Kelantan,6.147431,102.249236,2021,Nov,873,481.7083264
Kelantan,6.147431,102.249236,2021,Dec,1108,611.3778072
Kelantan,6.147431,102.249236,2022,Jan,1673,913.9080083
Kelantan,6.147431,102.249236,2022,Feb,1063,580.6839288
Kelantan,6.147431,102.249236,2022,Mar,1414,772.4243417
Kelantan,6.147431,102.249236,2022,Apr,1411,770.7855348
Kelantan,6.147431,102.249236,2022,May,1774,969.0811756
Kelantan,6.147431,102.249236,2022,Jun,2257,1232.929094
Kelantan,6.147431,102.249236,2022,Jul,1697,927.0184639
Kelantan,6.147431,102.249236,2022,Aug,2519,1376.051568
Kelantan,6.147431,102.249236,2022,Sep,3489,1905.932481
Kelantan,6.147431,102.249236,2022,Oct,3489,1905.932481
Kelantan,6.147431,102.249236,2022,Nov,2256,1232.382825
Kelantan,6.147431,102.249236,2022,Dec,2033,1110.564842
Kelantan,6.147431,102.249236,2023,Jan,3284,1765.781267
Kelantan,6.147431,102.249236,2023,Feb,4217,2267.448113
Kelantan,6.147431,102.249236,2023,Mar,4094,2201.311969
Kelantan,6.147431,102.249236,2023,Apr,2219,1193.139047
Kelantan,6.147431,102.249236,2023,May,4079,2193.246586
Kelantan,6.147431,102.249236,2023,Jun,3726,2003.44123
Kelantan,6.147431,102.249236,2023,Jul,3315,1782.449726
Kelantan,6.147431,102.249236,2023,Aug,2885,1551.242069
Kelantan,6.147431,102.249236,2023,Sep,2436,1309.81826
Kelantan,6.147431,102.249236,2023,Oct,2816,1514.141306
Kelantan,6.147431,102.249236,2023,Nov,2493,1340.466717
Kelantan,6.147431,102.249236,2023,Dec,2522,1356.059791
Kelantan,6.147431,102.249236,2024,Jan,3874,2052.015467
Kelantan,6.147431,102.249236,2024,Feb,3385,1792.99751
Kelantan,6.147431,102.249236,2024,Mar,2605,1379.840034
Kelantan,6.147431,102.249236,2024,Apr,2121,1123.470523
Kelantan,6.147431,102.249236,2024,May,2960,1567.879655
Kelantan,6.147431,102.249236,2024,Jun,2645,1401.027597
Kelantan,6.147431,102.249236,2024,Jul,3191,1690.23783
Kelantan,6.147431,102.249236,2024,Aug,3441,1822.660099
Kelantan,6.147431,102.249236,2024,Sep,3012,1595.423486
Kelantan,6.147431,102.249236,2024,Oct,2992,1584.829705
Kelantan,6.147431,102.249236,2024,Nov,2669,1413.740135
Kelantan,6.147431,102.249236,2024,Dec,2692,1425.922983
Melaka,2.237283,102.274261,2020,Jan,1917,1920.072115
Melaka,2.237283,102.274261,2020,Feb,1793,1795.873397
Melaka,2.237283,102.274261,2020,Mar,938,939.5032051
Melaka,2.237283,102.274261,2020,Apr,107,107.1714744
Melaka,2.237283,102.274261,2020,May,104,104.1666667
Melaka,2.237283,102.274261,2020,Jun,211,211.338141
Melaka,2.237283,102.274261,2020,Jul,430,430.6891026
